location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Wyong,Central Coast,AU,2019-04-06T00:00:00.000Z,2019-04-06T11:00:00+11:00,pm25,4.5,µg/m³,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-06T00:00:00.000Z,2019-04-06T11:00:00+11:00,o3,0.019,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-06T00:00:00.000Z,2019-04-06T11:00:00+11:00,pm10,11.8,µg/m³,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-06T00:00:00.000Z,2019-04-06T11:00:00+11:00,so2,0.002,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-06T00:00:00.000Z,2019-04-06T11:00:00+11:00,co,0.1,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-06T00:00:00.000Z,2019-04-06T11:00:00+11:00,no2,0.001,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T23:00:00.000Z,2019-04-06T10:00:00+11:00,o3,0.011000000000000001,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T23:00:00.000Z,2019-04-06T10:00:00+11:00,pm25,4.5,µg/m³,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T23:00:00.000Z,2019-04-06T10:00:00+11:00,pm10,11.9,µg/m³,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T23:00:00.000Z,2019-04-06T10:00:00+11:00,so2,0.005,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T23:00:00.000Z,2019-04-06T10:00:00+11:00,no2,0.003,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T23:00:00.000Z,2019-04-06T10:00:00+11:00,co,0.1,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T22:00:00.000Z,2019-04-06T09:00:00+11:00,no2,0.002,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T22:00:00.000Z,2019-04-06T09:00:00+11:00,o3,0.009000000000000001,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T22:00:00.000Z,2019-04-06T09:00:00+11:00,pm25,4.5,µg/m³,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T22:00:00.000Z,2019-04-06T09:00:00+11:00,pm10,12,µg/m³,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T22:00:00.000Z,2019-04-06T09:00:00+11:00,so2,0.001,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T22:00:00.000Z,2019-04-06T09:00:00+11:00,co,0.1,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T21:00:00.000Z,2019-04-06T08:00:00+11:00,no2,0.002,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T21:00:00.000Z,2019-04-06T08:00:00+11:00,o3,0.004,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T21:00:00.000Z,2019-04-06T08:00:00+11:00,pm25,4.5,µg/m³,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T21:00:00.000Z,2019-04-06T08:00:00+11:00,pm10,12.3,µg/m³,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T21:00:00.000Z,2019-04-06T08:00:00+11:00,so2,0,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T21:00:00.000Z,2019-04-06T08:00:00+11:00,co,0.1,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T20:00:00.000Z,2019-04-06T07:00:00+11:00,pm10,11.4,µg/m³,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T20:00:00.000Z,2019-04-06T07:00:00+11:00,pm25,4.7,µg/m³,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T20:00:00.000Z,2019-04-06T07:00:00+11:00,o3,0.001,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T20:00:00.000Z,2019-04-06T07:00:00+11:00,no2,0.004,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T20:00:00.000Z,2019-04-06T07:00:00+11:00,co,0.1,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T20:00:00.000Z,2019-04-06T07:00:00+11:00,so2,0,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Wyong,Central Coast,AU,2019-04-05T19:00:00.000Z,2019-04-06T06:00:00+11:00,so2,0,ppm,-32.195,150.6736111,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
