location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
The Gap,Mt Isa,AU,2019-03-11T00:00:00.000Z,2019-03-11T10:00:00+10:00,so2,0,ppm,-20.7264,139.498,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#gap""}]"
The Gap,Mt Isa,AU,2019-03-11T00:00:00.000Z,2019-03-11T10:00:00+10:00,pm10,11.7,µg/m³,-20.7264,139.498,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#gap""}]"
Menzies,Mt Isa,AU,2019-03-11T00:00:00.000Z,2019-03-11T10:00:00+10:00,so2,0,ppm,-20.7167,139.492,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#menzies""}]"
The Gap,Mt Isa,AU,2019-03-10T23:00:00.000Z,2019-03-11T09:00:00+10:00,so2,0.001,ppm,-20.7264,139.498,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#gap""}]"
The Gap,Mt Isa,AU,2019-03-10T23:00:00.000Z,2019-03-11T09:00:00+10:00,pm10,11.4,µg/m³,-20.7264,139.498,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#gap""}]"
Menzies,Mt Isa,AU,2019-03-10T23:00:00.000Z,2019-03-11T09:00:00+10:00,so2,0,ppm,-20.7167,139.492,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#menzies""}]"
The Gap,Mt Isa,AU,2019-03-10T22:00:00.000Z,2019-03-11T08:00:00+10:00,so2,0.001,ppm,-20.7264,139.498,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#gap""}]"
The Gap,Mt Isa,AU,2019-03-10T22:00:00.000Z,2019-03-11T08:00:00+10:00,pm10,10.3,µg/m³,-20.7264,139.498,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#gap""}]"
Menzies,Mt Isa,AU,2019-03-10T22:00:00.000Z,2019-03-11T08:00:00+10:00,so2,0,ppm,-20.7167,139.492,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#menzies""}]"
The Gap,Mt Isa,AU,2019-03-10T21:00:00.000Z,2019-03-11T07:00:00+10:00,so2,0.001,ppm,-20.7264,139.498,"[{""name"":""Department of Environment and Heritage Protection"",""url"":""https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1""},{""name"":""Department of Environment and Heritage Protection"",""url"":""https://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/mtisa/index.html#gap""}]"
