location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Narrabri,North-west Slopes,AU,2019-04-06T00:00:00.000Z,2019-04-06T11:00:00+11:00,so2,0.08199999999999999,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-06T00:00:00.000Z,2019-04-06T11:00:00+11:00,pm25,3.1,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-06T00:00:00.000Z,2019-04-06T11:00:00+11:00,pm10,6.9,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-06T00:00:00.000Z,2019-04-06T11:00:00+11:00,so2,0.105,ppm,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-06T00:00:00.000Z,2019-04-06T11:00:00+11:00,o3,0.018000000000000002,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-06T00:00:00.000Z,2019-04-06T11:00:00+11:00,pm10,4,µg/m³,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-06T00:00:00.000Z,2019-04-06T11:00:00+11:00,pm10,3.9,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-05T23:00:00.000Z,2019-04-06T10:00:00+11:00,pm10,3.9,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T23:00:00.000Z,2019-04-06T10:00:00+11:00,o3,0.022000000000000002,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-05T23:00:00.000Z,2019-04-06T10:00:00+11:00,no2,0.002,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-05T23:00:00.000Z,2019-04-06T10:00:00+11:00,so2,0.10300000000000001,ppm,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
