created_at,id_str,text,source,retweet_count,favorite_count,geo,coordinates,place,contributors,truncated,user.location,user.followers_count,user.friends_count,sentiment_label,sentiment_score,sentiment_subjt,created_date,created_time,created_dt
Sat Apr 06 03:00:11 +0000 2019,1114362135553892353,RT @comingupcharlie: Our most trusted company is also one of our biggest climate polluters. I explored how Air New Zealand is handling the…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7,0,,,,,False,Welly,1189,991,Positive,0.3181818181818182,0.4772727272727273,2019-04-06,03:00:11,2019-04-06T03:00:11+0000
Sat Apr 06 03:00:11 +0000 2019,1114362135553892353,RT @comingupcharlie: Our most trusted company is also one of our biggest climate polluters. I explored how Air New Zealand is handling the…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7,0,,,,,False,Welly,1189,991,Positive,0.3181818181818182,0.4772727272727273,2019-04-06,03:00:11,2019-04-06T03:00:11+0000
Sat Apr 06 03:00:00 +0000 2019,1114362090259505154,Air New Zealand to relaunch nonstop flights to Seoul. https://t.co/a6Q4tITalp  @FlyAirNZ https://t.co/UA6zlGjAlY,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,0,,,,,False,Asia-Pacific,10958,1841,Neutral,0.13636363636363635,0.45454545454545453,2019-04-06,03:00:00,2019-04-06T03:00:00+0000
Sat Apr 06 02:46:45 +0000 2019,1114358755033079808,RT @cduhaime: I think New Zealand has an interesting approach to media and criminality in the sense of not giving air time or naming major…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",4,0,,,,,False,Ontario Canada,966,2670,Positive,0.3181818181818182,0.4772727272727273,2019-04-06,02:46:45,2019-04-06T02:46:45+0000
Sat Apr 06 02:41:31 +0000 2019,1114357437467906049,Bora Bora Pearl Beach Resort&amp;Spa. 5n. Salidas del 01Abr-30Nov con Air New Zealand. Precio final desde 3.688€ https://t.co/JCkkMCLEvP,"<a href=""http://bookingfax.com/"" rel=""nofollow"">Ofertas de Bookingfax</a>",0,0,,,,,False,Spain,290,680,Neutral,0.06818181818181818,0.7272727272727273,2019-04-06,02:41:31,2019-04-06T02:41:31+0000
Sat Apr 06 02:39:00 +0000 2019,1114356805709123585,RT @comingupcharlie: Our most trusted company is also one of our biggest climate polluters. I explored how Air New Zealand is handling the…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7,0,,,,,False,Auckland,3641,2825,Positive,0.3181818181818182,0.4772727272727273,2019-04-06,02:39:00,2019-04-06T02:39:00+0000
Sat Apr 06 02:32:22 +0000 2019,1114355134438359040,"RT @thepowerscoop: A little over seven months ago (Oct 2nd), we got out first look at Beast Morphers filming in Albert Park, in New Zealand…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",14,0,,,,,False,,10,118,Neutral,0.04971590909090909,0.32196969696969696,2019-04-06,02:32:22,2019-04-06T02:32:22+0000
Sat Apr 06 02:24:45 +0000 2019,1114353216722849792,@FlyAirNZ Hello Air New Zealand. I love your airline. I have two requests. I love to travel. #1 give Koru members a… https://t.co/vQA37w0zLj,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,,,"{'id': '012fe5be6bf87d85', 'url': 'https://api.twitter.com/1.1/geo/id/012fe5be6bf87d85.json', 'place_type': 'city', 'name': 'Wanganui District', 'full_name': 'Wanganui District, New Zealand', 'country_code': 'NZ', 'country': 'New Zealand', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[174.76629, -40.040571], [175.515357, -40.040571], [175.515357, -39.230502], [174.76629, -39.230502]]]}, 'attributes': {}}",,True,"Wanganui District, New Zealand",14,69,Positive,0.37878787878787873,0.5515151515151514,2019-04-06,02:24:45,2019-04-06T02:24:45+0000
Sat Apr 06 02:07:03 +0000 2019,1114348764284772353,NEW ZEALAND AIR FORCE ON MY MIND,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",0,0,,,,,False,Papua New Guinea,87,571,Neutral,0.13636363636363635,0.45454545454545453,2019-04-06,02:07:03,2019-04-06T02:07:03+0000
Sat Apr 06 02:04:35 +0000 2019,1114348142848167936,RT @BMHayward: Our big #nzpol  #climatechange problem (next to cows) is Long haul tourism/business: ⁦@comingupcharlie⁩ reports on what’s cl…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,0,,,,,False,New Zealand,535,569,Neutral,-0.016666666666666666,0.16666666666666666,2019-04-06,02:04:35,2019-04-06T02:04:35+0000
