created_at,id_str,text,source,retweet_count,favorite_count,geo,coordinates,place,contributors,truncated,user.location,user.followers_count,user.friends_count,sentiment_label,sentiment_score,sentiment_subjt,created_date,created_time,created_dt
Sat Apr 06 00:41:58 +0000 2019,1114327352203522049,"RT @NoelleSelin: @drvox @CostaSamaras Indeed. And aircraft lead emissions lead to $1B in annual damages in the US, according to our estimat…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",24,0,,,,,False,,115,175,Neutral,0.0,0.0,2019-04-06,00:41:58,2019-04-06T00:41:58+0000
Sat Apr 06 00:41:58 +0000 2019,1114327352203522049,"RT @NoelleSelin: @drvox @CostaSamaras Indeed. And aircraft lead emissions lead to $1B in annual damages in the US, according to our estimat…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",24,0,,,,,False,,115,175,Neutral,0.0,0.0,2019-04-06,00:41:58,2019-04-06T00:41:58+0000
Fri Apr 05 23:20:01 +0000 2019,1114306729829777408,"Ryanair Named ""TOP"" air emissions airline of Europe. Mainly due to high demand on flight routes, aircraft fly more… https://t.co/uAAg6QvjkD","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,,,,True,"Sydney, NSW, Australia.",6,14,Positive,0.33375,0.57875,2019-04-05,23:20:01,2019-04-05T23:20:01+0000
Fri Apr 05 22:58:15 +0000 2019,1114301249300467712,"@Kate3015 @Sgt_Patterson Yes, but at least if you limit the trading to Australian companies there is no net detrime… https://t.co/0mLB12kl2S","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,1,,,,,True,Australia,236,338,Neutral,-0.09999999999999999,0.13333333333333333,2019-04-05,22:58:15,2019-04-05T22:58:15+0000
Fri Apr 05 18:25:27 +0000 2019,1114232597549387777,"RT @InmarsatGlobal: As the digital revolution transforms the aviation industry, airline operations are seeing the huge benefits of the conn…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",180,0,,,,,False,Malaysia,94,100,Neutral,0.20000000000000004,0.45,2019-04-05,18:25:27,2019-04-05T18:25:27+0000
Fri Apr 05 18:09:19 +0000 2019,1114228536175411200,RT @cleansky_ju: Skyline 27 has landed! Discover key projects which are helping us deliver on our ambitious objectives of reducing CO2 emis…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2,0,,,,,False,"Göteborg, Sverige",31,45,Neutral,0.125,0.875,2019-04-05,18:09:19,2019-04-05T18:09:19+0000
Fri Apr 05 14:31:52 +0000 2019,1114173813728657408,RT @ELJCGGU: @JesseJenkins @NoelleSelin @CostaSamaras @foe_us We first pointed out this problem to EPA in our 2005 comments to aircraft emi…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,0,,,,,False,"Texas, USA",311,1031,Neutral,0.25,0.3333333333333333,2019-04-05,14:31:52,2019-04-05T14:31:52+0000
Fri Apr 05 14:31:42 +0000 2019,1114173771705929728,"RT @ELJCGGU: @JesseJenkins @NoelleSelin @CostaSamaras Yes, avgas has been the largest source of lead from air pollution. Our clinic's 2006…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,0,,,,,False,"Texas, USA",311,1031,Neutral,0.0,0.0,2019-04-05,14:31:42,2019-04-05T14:31:42+0000
Fri Apr 05 12:52:07 +0000 2019,1114148713281261570,RT @cleansky_ju: Skyline 27 has landed! Discover key projects which are helping us deliver on our ambitious objectives of reducing CO2 emis…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2,0,,,,,False,"Berlin, Deutschland",218,207,Neutral,0.125,0.875,2019-04-05,12:52:07,2019-04-05T12:52:07+0000
Fri Apr 05 10:25:42 +0000 2019,1114111863040638976,Skyline 27 has landed! Discover key projects which are helping us deliver on our ambitious objectives of reducing C… https://t.co/8Je3fyDJFr,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2,2,,,,,True,Brussels,1802,398,Neutral,0.125,0.875,2019-04-05,10:25:42,2019-04-05T10:25:42+0000
Fri Apr 05 10:03:08 +0000 2019,1114106186964459520,"At #ICCPA2019, Daniel Sauer @DLR_en presented quite extraordinary datasets of aircraft chasing campaigns looking at… https://t.co/VvLOZdwnFu","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,,,,,True,"Zürich, Switzerland",2586,1579,Positive,0.3333333333333333,1.0,2019-04-05,10:03:08,2019-04-05T10:03:08+0000
Fri Apr 05 03:54:42 +0000 2019,1114013466480660481,"RT @InmarsatGlobal: As the digital revolution transforms the aviation industry, airline operations are seeing the huge benefits of the conn…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",180,0,,,,,False,,3,13,Neutral,0.20000000000000004,0.45,2019-04-05,03:54:42,2019-04-05T03:54:42+0000
Fri Apr 05 03:14:55 +0000 2019,1114003454547111936,"RT @Fly_Norwegian: #FlyNorwegian was just named the most sustainable airline in Norway by @sustbrands. Thank you so much! Since 2008, Norwe…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,0,,,,,False,"London, England",942,2835,Positive,0.375,0.35,2019-04-05,03:14:55,2019-04-05T03:14:55+0000
Fri Apr 05 02:08:03 +0000 2019,1113986629071527937,"RT @NoelleSelin: @drvox @CostaSamaras Indeed. And aircraft lead emissions lead to $1B in annual damages in the US, according to our estimat…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",24,0,,,,,False,,137,1226,Neutral,0.0,0.0,2019-04-05,02:08:03,2019-04-05T02:08:03+0000
