created_at,id_str,text,source,retweet_count,favorite_count,geo,coordinates,place,contributors,truncated,user.location,user.followers_count,user.friends_count,sentiment_label,sentiment_score,sentiment_subjt,created_date,created_time,created_dt
Fri Apr 05 23:33:01 +0000 2019,1114310000250376193,RT @transenv: Aviation is Europe's biggest climate failure. The sector is untaxed and under-regulated compared to other transport. Emission…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",34,0,,,,,False,BEAUVAIS ,146,191,Neutral,-0.22083333333333335,0.3375,2019-04-05,23:33:01,2019-04-05T23:33:01+0000
Fri Apr 05 23:33:01 +0000 2019,1114310000250376193,RT @transenv: Aviation is Europe's biggest climate failure. The sector is untaxed and under-regulated compared to other transport. Emission…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",34,0,,,,,False,BEAUVAIS ,146,191,Neutral,-0.22083333333333335,0.3375,2019-04-05,23:33:01,2019-04-05T23:33:01+0000
Fri Apr 05 23:20:01 +0000 2019,1114306729829777408,"Ryanair Named ""TOP"" air emissions airline of Europe. Mainly due to high demand on flight routes, aircraft fly more… https://t.co/uAAg6QvjkD","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,,,,True,"Sydney, NSW, Australia.",6,14,Positive,0.33375,0.57875,2019-04-05,23:20:01,2019-04-05T23:20:01+0000
Fri Apr 05 21:43:50 +0000 2019,1114282522618335238,"RT @valmasdel: Aviation greenhouse gas emissions (3% of Europe's total emissions) have increased by 26% since 2014.

Emissions of Ryanair u…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",44,0,,,,,False,"Paris, London, Brussels",80,29,Neutral,0.0,0.75,2019-04-05,21:43:50,2019-04-05T21:43:50+0000
Fri Apr 05 21:06:30 +0000 2019,1114273128358612994,"RT @Paul_Sacca: The guy lecturing you about climate change and carbon emissions owns an airline company, a rocket ship company and a cruise…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1665,0,,,,,False,"Christchurch, New Zealand",1229,1417,Neutral,0.0,0.0,2019-04-05,21:06:30,2019-04-05T21:06:30+0000
Fri Apr 05 21:02:16 +0000 2019,1114272062347018241,"RT @Paul_Sacca: The guy lecturing you about climate change and carbon emissions owns an airline company, a rocket ship company and a cruise…","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1665,0,,,,,False,,2730,3245,Neutral,0.0,0.0,2019-04-05,21:02:16,2019-04-05T21:02:16+0000
Fri Apr 05 21:00:40 +0000 2019,1114271658188009472,"RT @Paul_Sacca: The guy lecturing you about climate change and carbon emissions owns an airline company, a rocket ship company and a cruise…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1665,0,,,,,False,,507,903,Neutral,0.0,0.0,2019-04-05,21:00:40,2019-04-05T21:00:40+0000
Fri Apr 05 20:57:53 +0000 2019,1114270959421145088,"RT @Paul_Sacca: The guy lecturing you about climate change and carbon emissions owns an airline company, a rocket ship company and a cruise…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1665,0,,,,,False,,5216,854,Neutral,0.0,0.0,2019-04-05,20:57:53,2019-04-05T20:57:53+0000
Fri Apr 05 20:23:13 +0000 2019,1114262233620656129,"RT @KellyAYates917: I'm wondering what's in those Airline Peanuts that's got her squatting, accussing our family of being against Black Civ…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",12,0,,,,,False,Stairway to Heaven,304,595,Neutral,-0.16666666666666666,0.43333333333333335,2019-04-05,20:23:13,2019-04-05T20:23:13+0000
Fri Apr 05 19:52:42 +0000 2019,1114254555427102721,RT @transenv: Aviation is Europe's biggest climate failure. The sector is untaxed and under-regulated compared to other transport. Emission…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",34,0,,,,,False,,538,315,Neutral,-0.22083333333333335,0.3375,2019-04-05,19:52:42,2019-04-05T19:52:42+0000
