created_at,id_str,text,source,retweet_count,favorite_count,geo,coordinates,place,contributors,truncated,user.location,user.followers_count,user.friends_count,sentiment_label,sentiment_score,sentiment_subjt,created_date,created_time,created_dt
Fri Apr 05 16:32:36 +0000 2019,1114204197505970178,"RT @Sustainable2050: Unusual footage of an airplane producing its contrail, from above! 
Also a reminder of the amount of CO2 it emits. Wha…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2140,0,,,,,False,Earth,184,792,Neutral,0.1,0.55,2019-04-05,16:32:36,2019-04-05T16:32:36+0000
Fri Apr 05 16:32:36 +0000 2019,1114204197505970178,"RT @Sustainable2050: Unusual footage of an airplane producing its contrail, from above! 
Also a reminder of the amount of CO2 it emits. Wha…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2140,0,,,,,False,Earth,184,792,Neutral,0.1,0.55,2019-04-05,16:32:36,2019-04-05T16:32:36+0000
Thu Apr 04 21:52:35 +0000 2019,1113922339199225856,"@howemill @HertsFarmer Airplane fuel as well, practically tax free and emissions are made on thin atmospheric condi… https://t.co/d0lxV69Ctn","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,,,,,True,"Scotland, United Kingdom",1615,999,Neutral,0.0,0.55,2019-04-04,21:52:35,2019-04-04T21:52:35+0000
Thu Apr 04 18:19:17 +0000 2019,1113868658302963718,"RT @trekonomics: We need to go faster on airplane electrification, as the warming effects of airplane emissions are magnified at higher alt…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,0,,,,,False,,219,1373,Neutral,0.25,0.5,2019-04-04,18:19:17,2019-04-04T18:19:17+0000
Thu Apr 04 17:01:43 +0000 2019,1113849138850881536,"We need to go faster on airplane electrification, as the warming effects of airplane emissions are magnified at higher altitudes.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1,13,,,,,False,BUR | CDG | ITO,8508,4837,Neutral,0.25,0.5,2019-04-04,17:01:43,2019-04-04T17:01:43+0000
Thu Apr 04 15:00:33 +0000 2019,1113818644818157569,"@Flahutin @RobProvince On the other hand, polluting emissions are minimized under that condition...at least until t… https://t.co/OtkGxecbha","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,1,,,,,True,,40,302,Neutral,-0.2125,0.3875,2019-04-04,15:00:33,2019-04-04T15:00:33+0000
Thu Apr 04 01:40:22 +0000 2019,1113617274064314368,"RT @Sustainable2050: Unusual footage of an airplane producing its contrail, from above! 
Also a reminder of the amount of CO2 it emits. Wha…","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",2140,0,,,,,False,,168,1116,Neutral,0.1,0.55,2019-04-04,01:40:22,2019-04-04T01:40:22+0000
Wed Apr 03 22:27:43 +0000 2019,1113568789067595776,"RT @Sustainable2050: Unusual footage of an airplane producing its contrail, from above! 
Also a reminder of the amount of CO2 it emits. Wha…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2140,0,,,,,False,Greater NYC,163,401,Neutral,0.1,0.55,2019-04-03,22:27:43,2019-04-03T22:27:43+0000
Wed Apr 03 22:16:49 +0000 2019,1113566046076710922,@GUIGUI_gz @cjannuzzi @KagLinCod @DoctorAyy @IG_undeRWorld @tomselliott Again what is a closed system with a cow?… https://t.co/Pf3LMC1DDv,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,,,,True,Next door ,34,47,Neutral,-0.1,0.1,2019-04-03,22:16:49,2019-04-03T22:16:49+0000
Wed Apr 03 17:55:50 +0000 2019,1113500370720841729,man was the only passenger on a Boeing 737 to Italy AIRPLANES  WILL GENERATE 45 GIGATONNES OF PLANET WARMING POLLUT… https://t.co/R3GNfHjGtH,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,,,,,True,California ,351,739,Neutral,0.0,1.0,2019-04-03,17:55:50,2019-04-03T17:55:50+0000
Wed Apr 03 02:32:42 +0000 2019,1113268055994302464,"@lvraiders2019 @grierjason @Billy__Pang So, anything done to reduce carbon emissions can be expressed as cost per t… https://t.co/nb7hVoTagS","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,,,,True,"Toronto, Ontario",145,356,Neutral,0.0,0.0,2019-04-03,02:32:42,2019-04-03T02:32:42+0000
Wed Apr 03 01:42:45 +0000 2019,1113255486210498560,@wojo4hitz @steeldaddyrog @zofrex @sedita_sam @TerryRoller420 @david_ransom @TheRightMelissa @MiaNicholeJ… https://t.co/SYvDlOYzIW,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,,,,True,Sector ZZ9 Plural Z Alpha,59,505,Neutral,0.0,0.0,2019-04-03,01:42:45,2019-04-03T01:42:45+0000
Tue Apr 02 23:55:45 +0000 2019,1113228557470318595,"For Earth Month, @KeepTexasGreen will be host Barney Swan, who launched the ClimateForce Challenge. Swan was part o… https://t.co/smO7IyXGRG","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,1,,,,,True,"Austin, TX",30,136,Neutral,0.0,0.0,2019-04-02,23:55:45,2019-04-02T23:55:45+0000
Tue Apr 02 21:41:38 +0000 2019,1113194806526783488,RT @CalgaryBornBred: @TaxpayerJoe @JustinTrudeau Airplane emissions don't count https://t.co/dm44viasHG,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,0,,,,,False,,1143,2880,Neutral,0.0,0.0,2019-04-02,21:41:38,2019-04-02T21:41:38+0000
Tue Apr 02 21:16:41 +0000 2019,1113188528119095296,RT @Matt98687573: @DawnTJ90 @peden_c @CharlesDarwinTX @swcrisis @36_xenon @MonkeyMyBack @3GHtweets @kruttika108 @Gladfly1 @KCTaz @YackyDood…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,0,,,,,False,Canada,3235,2459,Neutral,0.0,0.0,2019-04-02,21:16:41,2019-04-02T21:16:41+0000
Tue Apr 02 20:58:55 +0000 2019,1113184054260588544,@TaxpayerJoe @JustinTrudeau Airplane emissions don't count https://t.co/dm44viasHG,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,1,,,,,False,"Calgary, AB",271,1086,Neutral,0.0,0.0,2019-04-02,20:58:55,2019-04-02T20:58:55+0000
Tue Apr 02 20:23:54 +0000 2019,1113175244469145601,RT @trutherbothazel: Every airplane has emissions. It’s the visible artificial cloud produced behind it that is creating tracks and it’s mo…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",6,0,,,,,False,,717,2153,Negative,-0.5,0.85,2019-04-02,20:23:54,2019-04-02T20:23:54+0000
Tue Apr 02 19:49:39 +0000 2019,1113166625581105152,RT @trutherbothazel: Every airplane has emissions. It’s the visible artificial cloud produced behind it that is creating tracks and it’s mo…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",6,0,,,,,False,,1961,2593,Negative,-0.5,0.85,2019-04-02,19:49:39,2019-04-02T19:49:39+0000
Tue Apr 02 17:14:10 +0000 2019,1113127497040908289,Every airplane has emissions. It’s the visible artificial cloud produced behind it that is creating tracks and it’s… https://t.co/G8fcUY9MrU,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",6,6,,,,,True,Great Lakes,1246,971,Negative,-0.5,0.85,2019-04-02,17:14:10,2019-04-02T17:14:10+0000
Tue Apr 02 16:45:31 +0000 2019,1113120286667366400,@DawnTJ90 @peden_c @CharlesDarwinTX @swcrisis @36_xenon @MonkeyMyBack @3GHtweets @kruttika108 @Gladfly1 @KCTaz… https://t.co/sm5MYFQxxR,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1,5,,,,,True,Britbongland,19,116,Neutral,0.0,0.0,2019-04-02,16:45:31,2019-04-02T16:45:31+0000
Tue Apr 02 16:23:45 +0000 2019,1113114806356193280,"@lltwing @RepFinkenauer @TransportDems @IowaSenate @iowahousedems @kaufmannGOP @gazettedotcom Oh pulease 

Tell us… https://t.co/g2b5Tc43wo","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,,,,,True,,187,266,Neutral,0.0,0.0,2019-04-02,16:23:45,2019-04-02T16:23:45+0000
Tue Apr 02 16:14:11 +0000 2019,1113112399807176704,"@ClimateHuman Analogy: airplane emissions = secondhand smoke
TV ad idea: Patient 🌎 is on a hospital bed 🛌 🤕 dying f… https://t.co/QMwS5BZwNr","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,0,,,,,True,,930,717,Neutral,-0.1,0.3,2019-04-02,16:14:11,2019-04-02T16:14:11+0000
Tue Apr 02 03:46:11 +0000 2019,1112924159007490049,@DrJacobsRad 2nd largest country in the world w/ one of lowest density. Global emissions at 3% from landmass w/ one… https://t.co/sRPXHPVy3I,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,,,,,True,"Prairies, Eh",22,40,Neutral,0.0,0.0,2019-04-02,03:46:11,2019-04-02T03:46:11+0000
Tue Apr 02 02:16:11 +0000 2019,1112901508708921345,"@traceylindeman I'm going to try to do more of my regional travel by train to cut down on GHG emissions, and save t… https://t.co/5XGcSQmnCA","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,0,,,,,True,"Montreal, Quebec, Canada",4279,1223,Neutral,0.17222222222222222,0.3944444444444445,2019-04-02,02:16:11,2019-04-02T02:16:11+0000
Mon Apr 01 23:48:25 +0000 2019,1112864322533933057,"RT @Sustainable2050: Unusual footage of an airplane producing its contrail, from above! 
Also a reminder of the amount of CO2 it emits. Wha…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2140,0,,,,,False,Munich,357,638,Neutral,0.1,0.55,2019-04-01,23:48:25,2019-04-01T23:48:25+0000
Mon Apr 01 22:47:08 +0000 2019,1112848903550926848,"RT @Sustainable2050: Unusual footage of an airplane producing its contrail, from above! 
Also a reminder of the amount of CO2 it emits. Wha…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2140,0,,,,,False,A Plane.,816,4209,Neutral,0.1,0.55,2019-04-01,22:47:08,2019-04-01T22:47:08+0000
Mon Apr 01 21:27:29 +0000 2019,1112828856103264256,"RT @Sustainable2050: Unusual footage of an airplane producing its contrail, from above! 
Also a reminder of the amount of CO2 it emits. Wha…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2140,0,,,,,False,Deutschland,1409,2363,Neutral,0.1,0.55,2019-04-01,21:27:29,2019-04-01T21:27:29+0000
Mon Apr 01 21:24:57 +0000 2019,1112828221316198400,"@AOC You're so against carbon emissions impact on global warming, so why are you gonna fly on an airplane that spew… https://t.co/mtoxaBaMr8","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,,,,True,"San Diego, CA",172,580,Positive,0.4,0.45,2019-04-01,21:24:57,2019-04-01T21:24:57+0000
Mon Apr 01 21:13:21 +0000 2019,1112825300675522560,@CTV_PowerPlay If the prime Minister spent a little less time on the Government Airplane he could probably Canada's emissions measurably,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,0,,,,,False,,0,0,Neutral,-0.15138888888888888,0.2222222222222222,2019-04-01,21:13:21,2019-04-01T21:13:21+0000
