created_at,id_str,text,source,retweet_count,favorite_count,geo,coordinates,place,contributors,truncated,user.location,user.followers_count,user.friends_count,sentiment_label,sentiment_score,sentiment_subjt,created_date,created_time,created_dt
Sat Apr 06 02:13:00 +0000 2019,1114350259499618305,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",732,0,,,,,False,Rio de Janeiro,114,132,Neutral,0.0,0.0,2019-04-06,02:13:00,2019-04-06T02:13:00+0000
Sat Apr 06 02:13:00 +0000 2019,1114350259499618305,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",732,0,,,,,False,Rio de Janeiro,114,132,Neutral,0.0,0.0,2019-04-06,02:13:00,2019-04-06T02:13:00+0000
Sat Apr 06 02:12:56 +0000 2019,1114350245213765633,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",732,0,,,,,False,,49,349,Neutral,0.0,0.0,2019-04-06,02:12:56,2019-04-06T02:12:56+0000
Sat Apr 06 02:12:45 +0000 2019,1114350199395180544,ei vem cá me conta como tá a vida tá namorando já mentiu pra quantas amigas ein??,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,,,,False,,822,1430,Neutral,0.0,0.0,2019-04-06,02:12:45,2019-04-06T02:12:45+0000
Sat Apr 06 02:12:45 +0000 2019,1114350196027199488,"Quando tu não cai mais no Papinho 
[5/4 23:10] Hellen: Tu quer oq?
[5/4 23:10] Hellen: Tu fala isso pra mim e mais quantas anjo?","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,0,,,,,False,"Pelotas, Brasil",144,182,Neutral,0.0,0.0,2019-04-06,02:12:45,2019-04-06T02:12:45+0000
Sat Apr 06 02:12:44 +0000 2019,1114350193871347712,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",732,0,,,,,False,"Brasília, Brasil",1085,703,Neutral,0.0,0.0,2019-04-06,02:12:44,2019-04-06T02:12:44+0000
Sat Apr 06 02:12:38 +0000 2019,1114350166700589057,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",732,0,,,,,False,,120,261,Neutral,0.0,0.0,2019-04-06,02:12:38,2019-04-06T02:12:38+0000
Sat Apr 06 02:12:37 +0000 2019,1114350162665775105,"RT @deborasandre: @CarvalhoCaroll_ Tem que saber quem é não gata, tem que saber quantas pizzas a pessoa vai pagar.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,0,,,,,False,"Paraíba do Sul, RJ",1805,2758,Neutral,0.0,0.0,2019-04-06,02:12:37,2019-04-06T02:12:37+0000
Sat Apr 06 02:12:36 +0000 2019,1114350161793253376,RT @Beatzcursino: Quantas horas tem o dia deles?? https://t.co/3xnsD59XCF,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,0,,,,,False,"Santo André, SP ",1121,368,Neutral,0.0,0.0,2019-04-06,02:12:36,2019-04-06T02:12:36+0000
Sat Apr 06 02:12:36 +0000 2019,1114350158941229056,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",732,0,,,,,False,"Recife, Brasil",424,340,Neutral,0.0,0.0,2019-04-06,02:12:36,2019-04-06T02:12:36+0000
Sat Apr 06 02:12:33 +0000 2019,1114350147738247168,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",732,0,,,,,False,"São Paulo, Brasil",16,125,Neutral,0.0,0.0,2019-04-06,02:12:33,2019-04-06T02:12:33+0000
Sat Apr 06 02:12:22 +0000 2019,1114350099528863744,RT @danielle_casti: quando me perguntam quantas vezes eu ja surtei no dia https://t.co/mfWdShgLBx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",6013,0,,,,,False,Timbó - SC,309,279,Neutral,0.0,0.0,2019-04-06,02:12:22,2019-04-06T02:12:22+0000
Sat Apr 06 02:12:17 +0000 2019,1114350081619255296,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",732,0,,,,,False,conjuntão,266,261,Neutral,0.0,0.0,2019-04-06,02:12:17,2019-04-06T02:12:17+0000
Sat Apr 06 02:12:15 +0000 2019,1114350072790175745,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",732,0,,,,,False,"Eugenópolis, Brasil",118,308,Neutral,0.0,0.0,2019-04-06,02:12:15,2019-04-06T02:12:15+0000
Sat Apr 06 02:11:54 +0000 2019,1114349983258562562,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",732,0,,,,,False,"Nova Iguaçu, Brasil",1180,1403,Neutral,0.0,0.0,2019-04-06,02:11:54,2019-04-06T02:11:54+0000
Sat Apr 06 02:11:52 +0000 2019,1114349975088058368,perdi as contas de quantas pessoas me marcaram no show da mc mirella 🥺🥺🥺🥺🥺,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,,,,,False,ig: naidarlin,1306,976,Neutral,0.0,0.0,2019-04-06,02:11:52,2019-04-06T02:11:52+0000
Sat Apr 06 02:11:50 +0000 2019,1114349968289148929,"RT @ternesici: Então @maknaemints
Talvez eu esteja meio emotiva demais mas vamos lá
A sua AU foi simplesmente incrível, ela me prendeu tant…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,0,,,,,False,Only Shawol,2514,1767,Neutral,0.0,0.0,2019-04-06,02:11:50,2019-04-06T02:11:50+0000
Sat Apr 06 02:11:47 +0000 2019,1114349955550990336,RT @danielle_casti: quando me perguntam quantas vezes eu ja surtei no dia https://t.co/mfWdShgLBx,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",6013,0,,,,,False,,742,230,Neutral,0.0,0.0,2019-04-06,02:11:47,2019-04-06T02:11:47+0000
Sat Apr 06 02:11:46 +0000 2019,1114349949892927488,"RT @yashagallazzi: ""FHC diz que foi contra impeachment de Lula: 'era trabalhador'""

Giulia, mostra pro pessoal quantas eleições seguidas el…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",23,0,,,,,False,orando pelo meu Bonoro,516,406,Neutral,0.0,0.0,2019-04-06,02:11:46,2019-04-06T02:11:46+0000
Sat Apr 06 02:11:39 +0000 2019,1114349921249976320,"""Xuxi, quantas vezes você pensou no Sicheng hoje?""
Eu:
 https://t.co/g3LbXFfvO0","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,,,,False,sιᥴhᥱᥒg's fιᥲᥒᥴᥱ,197,186,Neutral,0.0,0.0,2019-04-06,02:11:39,2019-04-06T02:11:39+0000
Sat Apr 06 02:11:39 +0000 2019,1114349920637599744,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",732,0,,,,,False,"Belo Horizonte, Brasil",448,409,Neutral,0.0,0.0,2019-04-06,02:11:39,2019-04-06T02:11:39+0000
Sat Apr 06 02:11:37 +0000 2019,1114349912395780098,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",732,0,,,,,False,"Rio de Janeiro, Brazil",46,163,Neutral,0.0,0.0,2019-04-06,02:11:37,2019-04-06T02:11:37+0000
Sat Apr 06 02:11:30 +0000 2019,1114349882490413056,"E olhar agora e ver que já estou na metade do curso, quantas coisas já passei, quantos dias bons, ótimos e péssimos… https://t.co/J6gbgY0GTU","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,,,,True,,55,144,Neutral,0.0,0.0,2019-04-06,02:11:30,2019-04-06T02:11:30+0000
Sat Apr 06 02:11:28 +0000 2019,1114349876161187840,RT @danielle_casti: quando me perguntam quantas vezes eu ja surtei no dia https://t.co/mfWdShgLBx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",6013,0,,,,,False,,910,1098,Neutral,0.0,0.0,2019-04-06,02:11:28,2019-04-06T02:11:28+0000
Sat Apr 06 02:11:27 +0000 2019,1114349869123219457,"RT @dorafigueiredo: Gente, paquerei pouco por Instagram, quantas curtidas em fotos dele sozinho eu tenho que dar pra ele entender que eu qu…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",77,0,,,,,False,manhattan,124,110,Neutral,0.0,0.0,2019-04-06,02:11:27,2019-04-06T02:11:27+0000
Sat Apr 06 02:11:13 +0000 2019,1114349814215532546,"RT @Annaalvezz_: só EU sei o quanto eu sofri, quantas noites intermináveis eu passei em claro sozinha pensando em tirar minha própria vida…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",24,0,,,,,False,"Belo Horizonte, Brasil",172,145,Neutral,0.0,0.0,2019-04-06,02:11:13,2019-04-06T02:11:13+0000
Sat Apr 06 02:11:08 +0000 2019,1114349791679586305,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",733,0,,,,,False,"Pernambuco, Brasil",23,100,Neutral,0.0,0.0,2019-04-06,02:11:08,2019-04-06T02:11:08+0000
Sat Apr 06 02:11:06 +0000 2019,1114349784503074816,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",733,0,,,,,False,"Goiânia, Brasil",108,117,Neutral,0.0,0.0,2019-04-06,02:11:06,2019-04-06T02:11:06+0000
Sat Apr 06 02:11:06 +0000 2019,1114349782049411072,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",733,0,,,,,False,"São João de Meriti, Brasil",22,60,Neutral,0.0,0.0,2019-04-06,02:11:06,2019-04-06T02:11:06+0000
Sat Apr 06 02:11:04 +0000 2019,1114349775229476864,"@CarvalhoCaroll_ Tem que saber quem é não gata, tem que saber quantas pizzas a pessoa vai pagar.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,2,,,,,False,Paraíba do Sul - RJ,1004,651,Neutral,0.0,0.0,2019-04-06,02:11:04,2019-04-06T02:11:04+0000
Sat Apr 06 02:10:59 +0000 2019,1114349753716834311,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",733,0,,,,,False,,525,322,Neutral,0.0,0.0,2019-04-06,02:10:59,2019-04-06T02:10:59+0000
Sat Apr 06 02:10:59 +0000 2019,1114349752055889921,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",733,0,,,,,False,"Betim, Brasil",200,167,Neutral,0.0,0.0,2019-04-06,02:10:59,2019-04-06T02:10:59+0000
Sat Apr 06 02:10:54 +0000 2019,1114349732959223813,RT @danielle_casti: quando me perguntam quantas vezes eu ja surtei no dia https://t.co/mfWdShgLBx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",6013,0,,,,,False,"Ariquemes, RO",116,70,Neutral,0.0,0.0,2019-04-06,02:10:54,2019-04-06T02:10:54+0000
Sat Apr 06 02:10:51 +0000 2019,1114349719336235009,"RT @maiconkusterkkk: o irmão dessa racista está ameaçando processar duas pessoas que expuseram essa racista. por medo os 2 apagaram

mas qu…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",93256,0,,,,,False,gravataí rs,1874,1213,Neutral,0.05,1.0,2019-04-06,02:10:51,2019-04-06T02:10:51+0000
Sat Apr 06 02:10:42 +0000 2019,1114349684133367808,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",733,0,,,,,False,"Belo Horizonte, Brasil",137,132,Neutral,0.0,0.0,2019-04-06,02:10:42,2019-04-06T02:10:42+0000
Sat Apr 06 02:10:37 +0000 2019,1114349660100014080,"@LucasRanngel @Hudsondanilo92 p mim seria ""vc foi trouxa quantas vezes nas últimas 48 horas?""","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,,,,,False,"São Paulo, Brasil",2639,2641,Neutral,0.0,0.0,2019-04-06,02:10:37,2019-04-06T02:10:37+0000
Sat Apr 06 02:10:21 +0000 2019,1114349592458551298,RT @nxirvanna: felipe neto é a maior prova do quanto a sociedade glorifica o macho hetero branco por fazer o MÍNIMO não importa quantas mer…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",95,0,,,,,False,"Goiânia, Brasil",3493,1963,Neutral,0.0,0.0,2019-04-06,02:10:21,2019-04-06T02:10:21+0000
Sat Apr 06 02:10:17 +0000 2019,1114349577870745600,"RT @vinigusmao: eu já perdi a conta de quantas festas surpresas já ajudei a fazer, e já ganhei total de 0 festas surpresa","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3672,0,,,,,False,,526,384,Neutral,0.0,0.75,2019-04-06,02:10:17,2019-04-06T02:10:17+0000
Sat Apr 06 02:10:15 +0000 2019,1114349568097959936,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",733,0,,,,,False,no fundo do poço ,269,479,Neutral,0.0,0.0,2019-04-06,02:10:15,2019-04-06T02:10:15+0000
Sat Apr 06 02:10:14 +0000 2019,1114349564079767554,"RT @LucasRanngel: você já foi trouxa quantas vezes esse ano?

eu: https://t.co/WnNa4JJZT2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",733,0,,,,,False,"Brasília, Brasil",1462,1498,Neutral,0.0,0.0,2019-04-06,02:10:14,2019-04-06T02:10:14+0000
