created_at,id_str,text,source,retweet_count,favorite_count,geo,coordinates,place,contributors,truncated,user.location,user.followers_count,user.friends_count,sentiment_label,sentiment_score,sentiment_subjt,created_date,created_time,created_dt
Fri Apr 05 11:25:17 +0000 2019,1114126859220979712,"We are looking forward to engaging with airports, airlines and public bodies about our holistic approach to sustain… https://t.co/2Fi9Hf3CMx","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,0,,,,,True,United Kingdom,110,120,Neutral,0.2,0.3833333333333333,2019-04-05,11:25:17,2019-04-05T11:25:17+0000
Fri Apr 05 11:25:17 +0000 2019,1114126859220979712,"We are looking forward to engaging with airports, airlines and public bodies about our holistic approach to sustain… https://t.co/2Fi9Hf3CMx","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,0,,,,,True,United Kingdom,110,120,Neutral,0.2,0.3833333333333333,2019-04-05,11:25:17,2019-04-05T11:25:17+0000
Thu Apr 04 05:01:39 +0000 2019,1113667926035501056,"RT @Newton_NCP: Electric planes? Why not? Embrace the future ✈️🌎⚡
Newton embraces renewable energy as one of its main goals. 

https://t.co…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,0,,,,,False,România,111,192,Neutral,0.08333333333333333,0.22916666666666666,2019-04-04,05:01:39,2019-04-04T05:01:39+0000
Wed Apr 03 17:21:41 +0000 2019,1113491775275118595,"Greenest Hotels and Airlines 2019 .""https://t.co/HvDkyyqPO3 …  #Aruba #sustainable #netzero #carbonneutral… https://t.co/l0RnRGrfNP","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,9,,,,,True,"Eagle Beach, Aruba",3798,530,Neutral,0.0,0.0,2019-04-03,17:21:41,2019-04-03T17:21:41+0000
Wed Apr 03 12:12:23 +0000 2019,1113413938983706624,"Electric planes? Why not? Embrace the future ✈️🌎⚡
Newton embraces renewable energy as one of its main goals.… https://t.co/AN4LEcIBvx","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1,10,,,,,True,,3050,45,Neutral,0.08333333333333333,0.22916666666666666,2019-04-03,12:12:23,2019-04-03T12:12:23+0000
Tue Apr 02 20:16:49 +0000 2019,1113173461130727425,Aviation: Delta Airlines. https://t.co/93BteeeivB,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>",0,0,,,,,False,amsterdam,319,838,Neutral,0.0,0.0,2019-04-02,20:16:49,2019-04-02T20:16:49+0000
Tue Apr 02 19:04:01 +0000 2019,1113155138154196993,RT @A4Europe: A4E airlines take their environmental responsibility seriously and are continuously investing in more sustainable operations.…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2,0,,,,,False,,1875,1570,Neutral,0.08333333333333334,0.5833333333333333,2019-04-02,19:04:01,2019-04-02T19:04:01+0000
Tue Apr 02 14:17:38 +0000 2019,1113083068548571136,"RT @nikabachfischer: Fresh Airline Food? In-Flight Meals that are actually enjoyable are few

@SingaporeAir is aiming to change that with a…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1,0,,,,,False,,15,45,Neutral,0.20000000000000004,0.4000000000000001,2019-04-02,14:17:38,2019-04-02T14:17:38+0000
Tue Apr 02 14:14:10 +0000 2019,1113082195911077888,"Fresh Airline Food? In-Flight Meals that are actually enjoyable are few

@SingaporeAir is aiming to change that wit… https://t.co/dkOEQpZHnl","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1,1,,,,,True,München,1184,1721,Neutral,0.20000000000000004,0.4000000000000001,2019-04-02,14:14:10,2019-04-02T14:14:10+0000
Tue Apr 02 10:05:22 +0000 2019,1113019585782038528,A4E airlines take their environmental responsibility seriously and are continuously investing in more sustainable o… https://t.co/DA5b27P5Kz,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2,6,,,,,True,"Brussels, Belgium",3128,197,Neutral,0.08333333333333334,0.5833333333333333,2019-04-02,10:05:22,2019-04-02T10:05:22+0000
