created_at,id_str,text,source,retweet_count,favorite_count,geo,coordinates,place,contributors,truncated,user.location,user.followers_count,user.friends_count,sentiment_label,sentiment_score,sentiment_subjt,created_date,created_time,created_dt
Fri Apr 05 20:51:21 +0000 2019,1114269316352897024,I love that Air New Zealand collects its recyclable trash and brags about being a sustainable airline. But a single… https://t.co/Tg7Gv9kddd,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,5,,,,,True,,2821,400,Positive,0.3181818181818182,0.5272727272727272,2019-04-05,20:51:21,2019-04-05T20:51:21+0000
Fri Apr 05 20:51:21 +0000 2019,1114269316352897024,I love that Air New Zealand collects its recyclable trash and brags about being a sustainable airline. But a single… https://t.co/Tg7Gv9kddd,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2,5,,,,,True,,2821,400,Positive,0.3181818181818182,0.5272727272727272,2019-04-05,20:51:21,2019-04-05T20:51:21+0000
Fri Apr 05 20:24:10 +0000 2019,1114262475145396224,"RT @piersyoung: Costs aside, given the student strikes and CO2 issues with planes, should school trips avoid flying? What sort of trips jus…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,0,,,,,False,Black-hearted in Battersea,654,1034,Neutral,0.0,0.0,2019-04-05,20:24:10,2019-04-05T20:24:10+0000
Fri Apr 05 14:00:36 +0000 2019,1114165947403841537,Virgin Atlantic have removed beef and palm oil from their in flight menu in a bid to reduce their carbon footprint… https://t.co/Os7Y9hTAkE,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",0,1,,,,,True,London,1772,1445,Neutral,0.0,0.0,2019-04-05,14:00:36,2019-04-05T14:00:36+0000
Fri Apr 05 11:48:44 +0000 2019,1114132759520382979,"Costs aside, given the student strikes and CO2 issues with planes, should school trips avoid flying? What sort of t… https://t.co/FDpoUrreJL","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,3,,,,,True,London,597,680,Neutral,0.0,0.0,2019-04-05,11:48:44,2019-04-05T11:48:44+0000
Fri Apr 05 07:30:55 +0000 2019,1114067877559246848,"RT @icao: Our #ICAO75 celebrations continue with a State that shows great leadership toward the sustainable future of #flight, building on…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",4,0,,,,,False,"Paris, France",35,267,Positive,0.4,0.4375,2019-04-05,07:30:55,2019-04-05T07:30:55+0000
Fri Apr 05 03:57:57 +0000 2019,1114014282788823040,@JamesDoddFOX Why is it a problem? He’s taken a massive historic club and with the investors built a sensible and s… https://t.co/tiPHnzbAap,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,,,,,True,Work,1141,2431,Neutral,0.0,0.5,2019-04-05,03:57:57,2019-04-05T03:57:57+0000
Thu Apr 04 20:39:15 +0000 2019,1113903881212141568,"As a sustainability consultant for the hospitality industry, I'm grateful when companies help consumers be more sus… https://t.co/7fk5HY17Kv","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,2,,,,,True,"Washington, DC",407,454,Positive,0.5,0.5,2019-04-04,20:39:15,2019-04-04T20:39:15+0000
Thu Apr 04 18:18:05 +0000 2019,1113868354832535553,"RT @AJPhillipson: Final day of Designing Our Future kicks off with the Evolution of #Entertainment...followed by Future of the #Workplace,…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2,0,,,,,False,"Miami, Florida",7788,336,Neutral,0.0,0.4166666666666667,2019-04-04,18:18:05,2019-04-04T18:18:05+0000
Thu Apr 04 17:48:32 +0000 2019,1113860918385844224,"RT @SpikeAerospace: It is about time for supersonic flight, but this time much quieter, more sustainable and innovative. https://t.co/65ssv…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1,0,,,,,False,"Melbourne, Victoria",39,109,Positive,0.39999999999999997,0.5666666666666667,2019-04-04,17:48:32,2019-04-04T17:48:32+0000
Thu Apr 04 16:32:53 +0000 2019,1113841882486988803,"RT @AJPhillipson: Final day of Designing Our Future kicks off with the Evolution of #Entertainment...followed by Future of the #Workplace,…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2,0,,,,,False,Canada,4814,1238,Neutral,0.0,0.4166666666666667,2019-04-04,16:32:53,2019-04-04T16:32:53+0000
Thu Apr 04 14:56:44 +0000 2019,1113817685937274880,"It is about time for supersonic flight, but this time much quieter, more sustainable and innovative. https://t.co/65ssvW2jek","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1,2,,,,,False,Boston,894,100,Positive,0.39999999999999997,0.5666666666666667,2019-04-04,14:56:44,2019-04-04T14:56:44+0000
Thu Apr 04 13:35:23 +0000 2019,1113797213480804352,Final day of Designing Our Future kicks off with the Evolution of #Entertainment...followed by Future of the… https://t.co/aN5HTk59OY,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2,3,,,,,True,New York/North America,3250,1348,Neutral,0.0,0.4166666666666667,2019-04-04,13:35:23,2019-04-04T13:35:23+0000
Thu Apr 04 13:27:56 +0000 2019,1113795339377684481,"RT @IndiaIncorp: #tbt to this great interview with Chris Cholerton, President Defence Aerospace @RollsRoyce on how a focus on #technology &amp;…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1,0,,,,,False,"Birmingham, B18 6JL",3285,77,Positive,0.8,0.75,2019-04-04,13:27:56,2019-04-04T13:27:56+0000
Thu Apr 04 13:18:46 +0000 2019,1113793031847796736,"#tbt to this great interview with Chris Cholerton, President Defence Aerospace @RollsRoyce on how a focus on… https://t.co/IbzLUAqYMh","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1,1,,,,,True,"England, United Kingdom",4894,1089,Positive,0.8,0.75,2019-04-04,13:18:46,2019-04-04T13:18:46+0000
Thu Apr 04 13:18:31 +0000 2019,1113792966743605248,"@dqiuxtoe @VanillaIceBerg I've been through this exact thought process myself, and have come to the conclusion that… https://t.co/cogp0hPqjr","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,2,,,,,True,,73,144,Neutral,0.25,0.25,2019-04-04,13:18:31,2019-04-04T13:18:31+0000
